property_id,crawl_date,street_address,suburb,post_code,bed,bathroom,car,property_type,price,price_des,date_available,title,description,bond,allowance,indoor_feature,outdoor_feature,other_feature,floorplan,agency,agent,url
[425885066],"[datetime.date(2019, 2, 23)]",52/20 Sanflex Street,Darra,4076,[3],[2],[2],Townhouse,"[395.0, 395.0, 0]",$395 PW-RESERVE VIEWS,Thu 07-Mar-19,"LOCATED NEXT TO BUSHLAND RESERVE -3 BEDROOM TOWNHOUSE IN POPULAR, CENTRALLY LOCATED COMPLEX","Our immaculate complex is located in a desirable area of Darra which borders Oxley and Seventeen Mile Rocks. It is centrally located in a quiet street away from the main road, but with quick access to all arterial roads (Ipswich Motorway-M7,Centenary Hwy-M5 & M2 ). Easy walking distance to Darra Railway/Bus Station & Schools, Less than 500m to the Monier Road Woolworths & Aldi Shopping Centre. Short drive to Mt Ommaney Shopping Centre, Jindalee DFO & Homemaker Centre. Located 12km from the Brisbane CBD.",[1580.0],,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Fully fenced",https://www.realestate.com.au/floorplan_new.ds?id=425885066&theme=rea.rent,RAAS Group,Steve Dunn,https://www.realestate.com.au/property-townhouse-qld-darra-425885066
[412805643],"[datetime.date(2019, 2, 23)]",105 McPherson Road,Sinnamon Park,4073,[4],[3],[2],House,"[610.0, 610.0, 0]",$610 per week,Fri 08-Mar-19,SPACIOUS FAMILY HOME -  4/5 BED. 3 BATH. DBL GARAGE,"Ray White Centenary proudly offers for rent this spacious double storey family home located in a great position surrounded by other quality homes close to schools, shops & transport. ",[2440.0],Pet Friendly,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,2","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-house-qld-sinnamon+park-412805643
[414785075],"[datetime.date(2019, 2, 23)]",9 Janie Close,Sinnamon Park,4073,[4],[3],[2],House,"[550.0, 550.0, 0]",$550 per week,Fri 22-Mar-19,LARGE FAMILY HOME  - 4 BED. 2 BATH. DBL GARAGE.,GRAND HOME IN HIGH SINNAMON PARK POSITION,[2200.0],Pet Friendly,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,2,Balcony","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-house-qld-sinnamon+park-414785075
[425901178],"[datetime.date(2019, 2, 23)]",3215 Moggill Road,Bellbowrie,4070,[5],[3],[2],House,"[540.0, 540.0, 0]",$540 per week,Mon 25-Mar-19,Family Home with Granny Flat!,"This well presented home offers flowing open plan interiors filled with natural light. The master bedroom is spacious with built in wardrobes plus en-suite. There is a family bathroom with separate toilet. The open plan kitchen and living areas flow out to the large undercover entertainment area and private, easy to maintain lawn & gardens with plenty of room for a pool. Fully fenced front and back yards great for pets and the kids to have a game of cricket or soccer whilst the adults enjoy a sundowner. ",[2160.0],,,"Garage Spaces:,2",,Not provided,Raine & Horne - Brisbane West,Raine & Horne Brisbane West,https://www.realestate.com.au/property-house-qld-bellbowrie-425901178
[425921214],"[datetime.date(2019, 2, 23)]",25 Cardiff Road,Darra,4076,[3],[1],,House,"[350.0, 350.0, 0]",$350 pw,Tue 19-Mar-19,Renovated home in Convenient Location!,"This renovated home in a great location is walking distance to Darra train station, bus stops, local schools and shops. With off street parking, air conditioned living area and bedrooms this home is sure to impress!",[1400.0],,"Living Areas:,1,Toilets:,1",,,Not provided,Professionals P J Torbey Real Estate -,Property Management Team,https://www.realestate.com.au/property-house-qld-darra-425921214
[408155167],"[datetime.date(2019, 2, 23)]",6 Rosemount Street,Sinnamon Park,4073,[3],[1],[1],House,"[370.0, 370.0, 0]",$370 per week,Fri 29-Mar-19,WELL PRESENTED 3 BEDROOM HOME NEAR PARKLANDS,"Ray White Centenary offers for rent this lovely low set brick home in a quiet street just a stones throw from Rosemount Park. With modern and easy to maintain porcelain tiles, ceiling fans and an outdoor entertaining area, this is a simple little gem providing all the necessities at a great price in a great area! ",[1480.0],Pet Friendly,"Toilets:,1","Carport Spaces:,1","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Not provided,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-house-qld-sinnamon+park-408155167
[425916574],"[datetime.date(2019, 2, 23)]",95 Ducie Street,Darra,4076,[3],[2],[4],House,"[350.0, 350.0, 0]",$350 per week,Wed 20-Mar-19,Everything at your convenience!!,Come and inspect this family home located within walking distance to all amenities!,[1400.0],Pet Friendly,"Toilets:,2","Garage Spaces:,2,Open Car Spaces:,2",,Not provided,Rightway Realty - Darra,Jo Nguyen,https://www.realestate.com.au/property-house-qld-darra-425916574
[417417406],"[datetime.date(2019, 2, 23)]",580 Seventeen Mile Rocks Road,Sinnamon Park,4073,[2],[1],[2],Unit,"[385.0, 385.0, 0]",$385 Per Week,Sat 16-Mar-19,Affordable 2 Bedrooms Townhouse for Lease in Sinnamon Park / Jindalee / Seventeen Mile Rocks Road,"- Terrific location with easy access to shops, schools and rocks river parkland",,,"Toilets:,2,Gym,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning","Remote Garage,Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony,Courtyard,Fully Fenced,Swimming Pool - Inground",0,Not provided,Joy Realty - Sunnybank,William Wong 0423561543,https://www.realestate.com.au/property-unit-qld-sinnamon+park-417417406
[425748318],"[datetime.date(2019, 2, 23)]",111 Rowe Terrace,Darra,4076,[2],[1],[2],House,"[330.0, 330.0, 0]",$330 per week,Available Now,Please Call Craig on 0408 116 668 To Arrange A Viewing Inspection Today!,"House – 2 bedroom worker’s cottage with sunroom, modern kitchen, neat & tidy bathroom, new paint inside & outside, carpeted, reverse split a/c, ceiling fans, lockable laundry & storage area, house is on a large block, very close to rail, bus & shops $330/wk ",[1320.0],,"Living Areas:,2,Toilets:,1","Carport Spaces:,2",,https://www.realestate.com.au/floorplan_new.ds?id=425748318&theme=rea.rent,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-darra-425748318
[425792038],"[datetime.date(2019, 2, 23)]",36 Tennent Street,Westlake,4074,[4],[2],[2],House,"[535.0, 535.0, 0]",$535 p.w.,Tue 26-Feb-19,4 Bedroom Home in Westlake,"Located in the exclusive Westlake area you'll find this spacious four bedroom, 2 bathroom home boasting a formal dining and lounge room, open plan kitchen with dishwasher, large tiled family room with air-conditioning and double remote control lock up garage all protected with security screens, an alarm system and full fenced yard.",[2140.0],,"Ensuite:,1","Garage Spaces:,2","Property Type: House Garaging / carparking: Double lock-up, Auto doors",Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-westlake-425792038
[425885062],"[datetime.date(2019, 2, 23)]",5/20 Sanflex Street,Darra,4076,[3],[2],[2],Townhouse,"[390.0, 390.0, 0]",$390 Per Week,Thu 07-Mar-19,"IMMACULATE AIR-CONDITIONED 3 BEDROOM TOWNHOUSE IN POPULAR, CENTRALLY LOCATED COMPLEX","Our immaculate complex is located in a desirable area of Darra which borders Oxley and Seventeen Mile Rocks. It is centrally located in a quiet street away from the main road, but with quick access to all arterial roads (Ipswich Motorway-M7,Centenary Hwy-M5 & M2 ). Easy walking distance to Darra Railway/Bus Station & Schools, Less than 500m to the Monier Road Woolworths & Aldi Shopping Centre. Short drive to Mt Ommaney Shopping Centre, Jindalee DFO & Homemaker Centre. Located 12km from the Brisbane CBD.",[1560.0],,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",https://www.realestate.com.au/floorplan_new.ds?id=425885062&theme=rea.rent,RAAS Group,Steve Dunn,https://www.realestate.com.au/property-townhouse-qld-darra-425885062
[412196087],"[datetime.date(2019, 2, 23)]",8 Harans Street,Jamboree Heights,4074,[4],[2],[1],House,"[420.0, 420.0, 0]",$420,Available Now,Renovations are near complete to this elevated beauty,Cozy refurbished low set home featuring;,[1680.0],,,"Garage Spaces:,1",Property Type: House Property features: Unfurnished,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-jamboree+heights-412196087
[425837094],"[datetime.date(2019, 2, 23)]",15 Jervis St,Darra,4076,[3],[2],,Duplex/Semi-Detached,"[320.0, 320.0, 0]",$320 per week,Available Now,Brand New 3 Bedroom House for Rent,Side Access Back House,[1280.0],,,,,Not provided,HD Property Group,Derek LIM,https://www.realestate.com.au/property-duplex+semi+detached-qld-darra-425837094
[408168323],"[datetime.date(2019, 2, 23)]",181 Mt Ommaney Drive,Jindalee,4074,[6],[4],[4],House,"[660.0, 660.0, 0]",$660 p.w.,Thu 07-Mar-19,Under Application Enjoy this large beautiful family home,Enjoy living in this large beautiful family home,[2640.0],,"Ensuite:,1,Air Conditioning","Garage Spaces:,2,Open Car Spaces:,2",Property Type: House Garaging / carparking: Double lock-up Property Features: Unfurnished,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-jindalee-408168323
[420351966],"[datetime.date(2019, 2, 23)]",69 Seabrook Circuit,Westlake,4074,[4],[2],[2],House,"[730.0, 730.0, 0]",$730 p.w.,Fri 15-Mar-19,Sylist Home with a pool ready for the Entertainer,This home has it all.,[2920.0],,"Ensuite:,1","Garage Spaces:,2",Property Type: House Garaging / carparking: Double lock-up Kitchen: Dishwasher,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-westlake-420351966
[425870286],"[datetime.date(2019, 2, 23)]",3347 Moggill Road,Bellbowrie,4070,[4],[2],[2],House,"[475.0, 475.0, 0]",$475 per week,Available Now,Entertainers Delight,"This well presented family home is not going to last long on the market.  This is just newly listed and is ready to move into and enjoy the peaceful and relaxing days and nights.  This home is jam packed with everything you could ask for.  Plenty of room for the children to play, the adults to entertain and the family and friends to enjoy a cool down swim.",[1900.0],Pet Friendly,"Toilets:,2,Air Conditioning","Secure Parking,Garage Spaces:,2,Swimming Pool - Inground","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,PRDnationwide - Kenmore,Megan Peters,https://www.realestate.com.au/property-house-qld-bellbowrie-425870286
[401636000],"[datetime.date(2019, 2, 23)]",55 Vanwall Street,Moggill,4070,[4],[2],[2],House,"[440.0, 440.0, 0]",$440 per week,Available Now,Available in January 2019 - Low set 4 bedroom home with spacious yard,"This low set four bedroom home situated in Moggill in a quiet street near bushland, is perfect to call home with a large backyard and many more features to offer such as:",[1760.0],,"Ensuite:,1,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning","Garage Spaces:,2,Fully Fenced",,https://www.realestate.com.au/floorplan_new.ds?id=401636000&theme=rea.rent,Ozinvest Realty - Morningside,"Tanith Vidler,Milena Kelleher",https://www.realestate.com.au/property-house-qld-moggill-401636000
[425905754],"[datetime.date(2019, 2, 23)]",118 Curragundi Road,Jindalee,4074,[3],[1],[2],House,"[430.0, 430.0, 0]",$430 p.w.,Thu 14-Mar-19,Great Location!,"Large high-set, three bedrooms, two built-in, large living area, polished floors, modern bathroom, family room downstairs, with extra two studies or bedrooms, large balcony, double lock up garage, close to shops, schools & transport.",[1720.0],,,"Garage Spaces:,2",Property Type: House Garaging / carparking: Double lock-up,Not provided,NGU - South West,NGU South West Rentals,https://www.realestate.com.au/property-house-qld-jindalee-425905754
[425851426],"[datetime.date(2019, 2, 23)]",1 Northbrook Street,Sinnamon Park,4073,[3],[1],[2],House,"[445.0, 445.0, 0]",$445 per week,Sat 09-Mar-19,Beautiful home in Sinnamon Park,PROPERTY ID: 51597 (quote when calling),[1780.0],,,"Carport Spaces:,2",,Not provided,Rentbetter - Bondi,,https://www.realestate.com.au/property-house-qld-sinnamon+park-425851426
[425855734],"[datetime.date(2019, 2, 23)]",,Wacol,4076,[3],[1],[2],House,"[300.0, 300.0, 0]",$300 per week,Available Now,Neat & Tidy in Quiet Location,This neat & tidy home offers privacy and a clean living!,[1200.0],Pet Friendly,"Living Areas:,1,Toilets:,1,Built-in Wardrobes","Open Car Spaces:,2,Fully Fenced",,Not provided,Graceville Realty - Sherwood,Nick Mamara,https://www.realestate.com.au/property-house-qld-wacol-425855734
[425858458],"[datetime.date(2019, 2, 23)]",5 Sweetgum Street,Bellbowrie,4070,[4],[2],[2],House,"[460.0, 460.0, 0]",$460 per week,Fri 08-Mar-19,Fantastic Family home minutes from Bus and Shops,"Set on over 1000sq metres of manicured yard this really large 4 bedroom home has plenty of space for the whole family to spread out. There are four really good sized bedrooms the main with ensuite and walk in robe and access to the rear patio, and best of all the bedrooms are air conditioned. With three living area's, plus a study and plenty of outdoor living space, this home can offer you the separation that many homes lack. Completing the package is a double lock up garage and a huge fully fenced yard with shed. ",[1840.0],,,"Garage Spaces:,2",,Not provided,LJ Hooker - .,"Sarah Ratz,LJ Hooker Graceville",https://www.realestate.com.au/property-house-qld-bellbowrie-425858458
[425697206],"[datetime.date(2019, 2, 23)]",20 BROWNIE STREET,Jamboree Heights,4074,[6],[4],,House,"[649.0, 649.0, 0]",$649 Weekly inc. pool maintenance,Thu 28-Feb-19,One of a kind in Jamboree Heights,Supremely extensive home designed to suit anyone and everyone!,,,"Ensuite:,2,Air Conditioning",Swimming Pool - Inground,,Not provided,Centenary Real Estate - Jindalee,Rentals - Centenary Real Estate,https://www.realestate.com.au/property-house-qld-jamboree+heights-425697206
[409395915],"[datetime.date(2019, 2, 23)]",10 Nisbet Street,Westlake,4074,[4],[3],[4],House,"[550.0, 550.0, 0]",$550 per week,Wed 20-Mar-19,VERY SPACIOUS WESTLAKE FAMILY HOME - 4 BED. 3 BATH. INGROUND POOL.,"Ray White Centenary proudly presents for rent this exciting family home with exceptional character. With much to fall in love with, including the stunning raked ceilings in the downstairs lounge room and the upstairs master bedroom, and the sparkling in ground pool you will be proud to call this your home. ",[2200.0],Pet Friendly,"Toilets:,3","Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Swimming Pool - Inground","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s)",https://www.realestate.com.au/floorplan_new.ds?id=409395915&theme=rea.rent,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-house-qld-westlake-409395915
[425770674],"[datetime.date(2019, 2, 23)]",12 McGrath Court,Moggill,4070,[4],[2],[2],House,"[530.0, 530.0, 0]",$530 per week,Available Now,A HOME WITH ALL THE BELLS AND WHISTLES,Far more to offer than your average home this wonderful property has many luxury features for you to enjoy. The beautifully appointed kitchen is open plan with the family room and opens effortlessly on to the wonderful rear deck.  Both bathroom and ensuite are beautifully appointed with plenty of storage. There is timber flooring through many of the heavy traffic area's and you will also love the added bonus of a media room. ,[2120.0],,Air Conditioning,"Secure Parking,Garage Spaces:,2","Built-In Wardrobes, Garden",Not provided,LJ Hooker - .,"Sarah Ratz,LJ Hooker Graceville",https://www.realestate.com.au/property-house-qld-moggill-425770674
[425730254],"[datetime.date(2019, 2, 23)]",14 Wanata Street,Sinnamon Park,4073,[5],[2],[2],House,"[625.0, 625.0, 0]",$625 per week,Available Now,Room for Everyone,You'll be surprised at the size of this spacious family home in popular Sinnamon Park.,[2500.0],,"Ensuite:,1,Toilets:,2,Study,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning","Carport Spaces:,2,Outdoor Entertaining Area,Shed",Ceiling Fans,Not provided,Maison Real Estate -  Mount Ommaney,Peter Kilby,https://www.realestate.com.au/property-house-qld-sinnamon+park-425730254
[425783362],"[datetime.date(2019, 2, 23)]",344 Kangaroo Gully Road,Bellbowrie,4070,[4],[1],[2],House,"[500.0, 500.0, 0]",$500 per week,Sat 02-Mar-19,Renovated house on acreage!,"Situated within walking distance to public transport, located on this fantastic 2.4 acre level block, is this lovely 3 bedroom renovated home.",[2000.0],Pet Friendly,,"Garage Spaces:,2",,Not provided,Raine & Horne - Brisbane West,Raine & Horne Brisbane West,https://www.realestate.com.au/property-house-qld-bellbowrie-425783362
[401332008],"[datetime.date(2019, 2, 23)]",39 Redunca Place,Moggill,4070,[4],[2],[2],House,"[440.0, 440.0, 0]",$440 per week,Fri 01-Mar-19,Great home in a great location,This home features include,[1760.0],Pet Friendly,Built-in Wardrobes,"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced",,Not provided,Ozinvest Realty - Morningside,"Tanith Vidler,Milena Kelleher",https://www.realestate.com.au/property-house-qld-moggill-401332008
[425819322],"[datetime.date(2019, 2, 23)]",19 Bounty St,Jindalee,4074,[3],[1],[1],House,"[440.0, 440.0, 0]",$440 Per Week,Sat 02-Mar-19,FULLY RENOVATED LOW SET FAMILY HOME,Contact our office today to inspect this fully renovated low set family home in Jindalee. ,[1760.0],Pet Friendly,,"Garage Spaces:,1",,Not provided,Innovation Real Estate - Jamboree Heights,Innovation Rentals,https://www.realestate.com.au/property-house-qld-jindalee-425819322
[423022530],"[datetime.date(2019, 2, 23)]",543 Grandview Road,Pullenvale,4069,[4],[2],[6],House,"[650.0, 650.0, 0]",$650 per week,Mon 11-Mar-19,Acerage Living - Privacy and Tranquility,"If you enjoy Peace and Privacy this charming Queenslander with large North Easterly facing deck is great for entertaining or  simply sitting back with a cup of tea admiring the King Parrots and Kookaburras. The daytime sounds of whip birds, pheasants and Butcher Birds or the night time Boo Book Owl and Curlews in a natural setting make this a tranquil family home only 17km from the city.",[2600.0],Pet Friendly,"Ensuite:,1,Living Areas:,2,Toilets:,2,Study,Workshop,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning,Open Fireplace","Carport Spaces:,2,Open Car Spaces:,4,Balcony,Deck,Outdoor Entertaining Area,Shed,Fully Fenced",,Not provided,SeaScapeRE,Manager,https://www.realestate.com.au/property-house-qld-pullenvale-423022530
[417037126],"[datetime.date(2019, 2, 23)]",83 Mallee Circuit,Moggill,4070,[4],[2],[2],House,"[530.0, 530.0, 0]",$530 per week,Mon 08-Jul-19,"Beautiful near new home - Space, modern style and tranquility","This near new home, has lovely high ceilings and modern open plan living with space to relax with your family and friends. Enjoy all the creature comforts this home has to offer.  With 4 spacious bedrooms and 2 bathrooms the home has a unique design and is generous in size. The open planned living area opens up to the kitchen with stainless steel appliances and gas cooktop. ",[2120.0],Pet Friendly,,"Garage Spaces:,2",,Not provided,Raine & Horne - Brisbane West,Raine & Horne Brisbane West,https://www.realestate.com.au/property-house-qld-moggill-417037126
[425791790],"[datetime.date(2019, 2, 23)]",85 Tanglewood Street,Middle Park,4074,[3],[1],[2],House,"[410.0, 410.0, 0]",$410 Per Week,Available Now,Lowset 3 bedroom home in Middle Park,Don't miss your opportunity to secure this low set 3 bedroom home in Middle Park.  It's an entertainers delight - with an amazing large covered rear patio.,[1640.0],Pet Friendly,,"Carport Spaces:,2",,Not provided,Innovation Real Estate - Jamboree Heights,Innovation Rentals,https://www.realestate.com.au/property-house-qld-middle+park-425791790
[425842850],"[datetime.date(2019, 2, 23)]",88 Yallambee Road,Jindalee,4074,[4],[2],[2],House,"[510.0, 510.0, 0]",$510 Weekly inc mowing!,Available Now,Prime Location in the heart of Jindalee,"Beautifully designed, freshly refurbished Jindalee home perfectly located  within walking distance to Centenary State High School, high end cafes, bus stop, public swimming pool, Jindalee Golf Club, access to the Centenary Highway and more! Properties like this do not get welcomed to the rental market often, boasting a layout designed for easy living and natural light. It's time to call 88 Yallambee Road, Jindalee home!",,,"Ensuite:,1,Toilets:,1","Carport Spaces:,2",,Not provided,Centenary Real Estate - Jindalee,Rentals - Centenary Real Estate,https://www.realestate.com.au/property-house-qld-jindalee-425842850
[425861630],"[datetime.date(2019, 2, 23)]",3839 Moggill Road,Moggill,4070,[5],[4],[2],House,"[890.0, 890.0, 0]",$890 per week,Available Now,Acres of space on the river!,Located on the Brisbane River this home of overly generous proportions is ready for the family who don't like living in each others pocket.,[3560.0],Pet Friendly,,"Garage Spaces:,2",,Not provided,Raine & Horne - Brisbane West,Raine & Horne Brisbane West,https://www.realestate.com.au/property-house-qld-moggill-425861630
[425839166],"[datetime.date(2019, 2, 23)]",46 Samarai Street,Moggill,4070,[3],[1],[2],House,"[370.0, 370.0, 0]",$370 per week,Thu 28-Feb-19,FANTASTIC PRESENTATION WITH HEAPS OF STORAGE,"This neat and tidy cottage style home is ready for you now. Set in a quiet private cul de sac this lovely home has three good size bedrooms, large air conditioned living and double tandem garage with heaps of storage",[1480.0],,"Toilets:,1","Garage Spaces:,2",,Not provided,LJ Hooker - .,"Sarah Ratz,LJ Hooker Graceville",https://www.realestate.com.au/property-house-qld-moggill-425839166
[425863162],"[datetime.date(2019, 2, 23)]",21/20 Sanflex Street,Darra,4076,[3],[2],[2],Townhouse,"[385.0, 385.0, 0]",$385 Per Week,Fri 22-Mar-19,BREAK LEASE & AVAILABLE AFTER 15 MARCH- 3 BEDROOM AIRCONDITIONED TOWNHOUSE,This is a break lease so there is some flexibility with start dates.,[1540.0],,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,1,Open Car Spaces:,1,Balcony","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",https://www.realestate.com.au/floorplan_new.ds?id=425863162&theme=rea.rent,RAAS Group,Steve Dunn,https://www.realestate.com.au/property-townhouse-qld-darra-425863162
[425863414],"[datetime.date(2019, 2, 23)]",29 Capitol Drive,Jindalee,4074,[5],[3],[2],House,"[520.0, 520.0, 0]",$520 Weekly,Available Now,SUPREMELY SPACIOUS PARKSIDE JINDALEE HIGHSET!,"This beautiful Jindalee highset has more to offer than most! Boasting space galore, it has been perfectly designed to allow for a family of any shape or size to call it home. Enjoy bushland views from your front deck watching the kids play at the park, or enjoy a quiet afternoon in the covered entertainment area overlooking private landscaped gardens. ",,,"Ensuite:,1,Toilets:,2","Carport Spaces:,2",,Not provided,Centenary Real Estate - Jindalee,Centenary Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-425863414
[414899087],"[datetime.date(2019, 2, 23)]",3 Marlock Street,Bellbowrie,4070,[5],[2],[2],House,"[460.0, 460.0, 0]",$460 per week,Mon 25-Feb-19,Family Home in Quiet Street. Yard Maintenance Included,"This generously sized family home ticks all the boxes, whether for the growing or established family. Large living room with foxtel connections Separate dining room, 4 bedrooms, ensuite and walk-thru robe with ample shelving and room to dress, generous ensuite to the main room. Study and larger walk-thru areas complete this home. Ceiling fans throughout.",,,"Ensuite:,1","Carport Spaces:,2",,Not provided,Arthur Conias Real Estate - Toowong,Dannielle Garton,https://www.realestate.com.au/property-house-qld-bellbowrie-414899087
[413904967],"[datetime.date(2019, 2, 23)]",2/15 Abel Smith Crescent,Mount Ommaney,4074,[4],[3],[2],House,"[610.0, 610.0, 0]",$610 per week,Thu 14-Mar-19,RESORT STYLE LIVING - 4 BED. 3 BATH. 2 LUG. POOL & TENNIS COURT,**PLEASE WAIT FOR THE RAY WHITE REPRESENTATIVE AT THE FRONT ENTRANCE GATES FOR VIEWINGS **,[2440.0],Pet Friendly,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",https://www.realestate.com.au/floorplan_new.ds?id=413904967&theme=rea.rent,Ray White - Centenary,Debbie Swales,https://www.realestate.com.au/property-house-qld-mount+ommaney-413904967
[425615026],"[datetime.date(2019, 2, 23)]",8 Highland Drive,Seventeen Mile Rocks,4073,[5],[2],[2],House,"[650.0, 650.0, 0]",Edenbrooke $650pw,Available Now,4 Brms + media/5th brm + study + covered patio,Ducted air-conditioning.,[2600.0],Pet Friendly,Air Conditioning,"Garage Spaces:,2",,Not provided,THEONSITEMANAGER - Hendra,Dave Cochrane,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-425615026
[425618778],"[datetime.date(2019, 2, 23)]",13/9 Amazons Place,Sinnamon Park,4073,[3],[2],[2],Townhouse,"[450.0, 450.0, 0]",$450pw Water Inc,Available Now,EXCELLENT LOCATION FOR A FAMILY,"2-storey double-garage townhouse featuring 2 upstairs spacious bedrooms, master bedroom downstairs with en-suite. You only share a garage wall with the neighbour. Air conditioner installed downstairs and all with built-in robes and ceiling fans. Open plan living, dining and kitchen area with carpet flooring. There is a powder room downstairs, internal laundry. Tiled outdoor patio and fully fenced backyard requires minimal maintenance.",,,"Ensuite:,1,Living Areas:,1,Intercom,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning","Remote Garage,Garage Spaces:,2,Courtyard,Fully Fenced,Swimming Pool - Inground","balcony/patio/terrace,bath,formal lounge,internal laundry,modern bathroom,modern kitchen,close to pa",Not provided,Onsite Property - WATERFORD,John and Amy Ang and Hsueh,https://www.realestate.com.au/property-townhouse-qld-sinnamon+park-425618778
[414056839],"[datetime.date(2019, 2, 23)]",15 Wyara Close,Westlake,4074,[4],[3],[2],House,"[595.0, 595.0, 0]",$595 per week,Available Now,Spacious family home in Westlake,"This family home is located in a quiet Cul-de-sac, amongst very well presented neighboring homes.",[2380.0],,"Toilets:,3,Air Conditioning","Secure Parking,Garage Spaces:,2,Swimming Pool - Inground","Close to Schools, Close to Shops, Close to Transport, Formal Lounge, Separate Dining",Not provided,Ray White - Middle Park,Jacqui Price,https://www.realestate.com.au/property-house-qld-westlake-414056839
[425612790],"[datetime.date(2019, 2, 23)]",Riverfront/Carnegie St,Westlake,4074,[5],[4],[4],House,"[1350.0, 1350.0, 0]","Riverfront $1,350/wk",Mon 25-Feb-19,Riverfront with Pool,Call Sharon on 0431 722 483 to arrange your private inspection.,,,"Ensuite:,2,Living Areas:,2,Toilets:,4,Indoor Spa,Study,Floorboards,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Rumpus Room,Split-system Heating,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning,Open Fireplace","Remote Garage,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Courtyard,Outdoor Entertaining Area,Outside Spa,Swimming Pool - Inground",,Not provided,My Brisbane Home - Team,Sharon Dozzi,https://www.realestate.com.au/property-house-qld-westlake-425612790
[425631174],"[datetime.date(2019, 2, 23)]",29 Lather Road,Bellbowrie,4070,[3],[1],[2],House,"[460.0, 460.0, 0]",$460 per week,Available Now,STABLE AND YARDS FOR THE HORSE,"Rarely does an affordable house complete with stable and horse proof yard come up for rent in this area.  Set on prestigious Lather Road is this lowset country style home. Three bedrooms with ceiling fans, one bathroom, and a fire place. Beautiful polished timber floors throughout, large family room and renovated kitchen.",[1840.0],Pet Friendly,,"Carport Spaces:,2",,Not provided,LJ Hooker - .,"Sarah Ratz,LJ Hooker Graceville",https://www.realestate.com.au/property-house-qld-bellbowrie-425631174
[425623562],"[datetime.date(2019, 2, 23)]",129 Beaufort Crescent,Moggill,4070,[3],[2],[2],House,"[520.0, 520.0, 0]",$520 per week,Available Now,MASSIVE MOGGILL ACREAGE,Set in 2 and a half acres of stunning bushland this beautiful home in Moggill has all the space needed for fabulous family living. ,[2080.0],,,"Garage Spaces:,2",,Not provided,LJ Hooker - .,"Sarah Ratz,LJ Hooker Graceville",https://www.realestate.com.au/property-house-qld-moggill-425623562
